instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,mixed_type_col
1.0, 2011-01-01 ,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,702
2.0, 2011-01-01 ,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.22, 0.2727 ,0.8,0.0,8.0,32.0,40.0,831
3.0,2011-01-01,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22, 0.2727 ,0.8,0.0,5.0,27.0,32.0,175
4.0,2011-01-01,1.0,0.0,1.0,3.0,0.0,6.0, 0.0 ,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,581
5.0,2011-01-01,1.0,0.0,1.0,4.0,0.0,6.0,0.0, 1.0 ,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,659
6.0,2011-01-01,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,723
7.0,2011-01-01,1.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0, 0.22 ,0.2727,0.8,0.0,2.0,0.0,2.0,712
8.0,2011-01-01,1.0,0.0,1.0,314.0,0.0,6.0,0.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,696
9.0,2011-01-01,1.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0, 8.0 ,bad
10.0,2011-01-01,1.0,,1.0,9.0,0.0,6.0, 0.0 ,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,940
11.0,2011-01-01,1.0,,1.0,10.0,0.0, 6.0 ,0.0,1.0,0.38,0.3939,0.76,0.2537, 12.0 ,24.0,36.0,unknown
12.0,2011-01-01,1.0,0.0,1.0,11.0,0.0,952.0,0.0,1.0,0.36, 0.3333 ,0.81,0.2836,26.0,30.0,56.0,114
13.0,2011-01-01,1.0,0.0, 1.0 ,12.0,0.0,6.0,0.0,1.0,?,0.4242,0.77,0.2836,29.0,55.0,84.0,bad
 14.0 ,2011-01-01,1.0,0.0,1.0,13.0,0.0,6.0, 0.0 ,2.0, 0.46 ,0.4545,0.72,0.2985,47.0,47.0,94.0,22
15.0, 2011-01-01 ,1.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,962
16.0,2011-01-01,1.0,0.0,1.0,15.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0,350
17.0,2011-01-01,1.0,0.0,1.0,16.0,0.0,6.0,0.0,2.0,0.42,0.4242,0.82,0.2985,41.0,1041.0,93.0,bad
18.0,2011-01-01,1.0,0.0, 1.0 , 17.0 ,0.0,90.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,133
19.0,2011-01-01,1.0,0.0,1.0,,?,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,935
20.0,2011-01-01,1.0,0.0,1.0,19.0,0.0,6.0,0.0,3.0, 0.42 ,0.4242,0.88,0.2537,6.0,31.0,37.0,944
21.0,2011-01-01,1.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4, 0.4091 ,0.87,0.2537,11.0,25.0, 36.0 ,
22.0,2011-01-01,1.0,0.0,1.0, 21.0 ,0.0,6.0,0.0,2.0,0.4,, 0.87 ,0.194,3.0,31.0,34.0,85
23.0,2011-01-01,1.0,0.0,1.0,22.0,0.0,,0.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,753
24.0,2011-01-01,1.0,0.0,1.0,23.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,415.0,707
25.0,2011-01-02,1.0,0.0, 1.0 ,0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0, 13.0 ,17.0,558
26.0,2011-01-02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537, 1.0 ,16.0,17.0,unknown
27.0,2011-01-02, 1.0 ,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,498
28.0,2011-01-02,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0, 4.0 ,,692
29.0,2011-01-02,1.0,0.0,1.0,4.0,0.0,157.0,0.0, 2.0 ,0.46,0.4545, 0.94 ,0.194,2.0,1.0,3.0,unknown
30.0,2011-01-02,1.0,0.0,1.0,,0.0,0.0,,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,100
31.0,2011-01-02,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,227
32.0,2011-01-02, 1.0 ,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,
33.0,2011-01-02,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.38,0.3939,0.76, 0.2239 ,1.0, 19.0 ,20.0,802
34.0,2011-01-02,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,390
35.0,2011-01-02,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,867.2537,16.0,54.0,70.0,976
36.0,2011-01-02,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,error,73.0,93.0,698
37.0,2011-01-02,1.0,0.0,1.0,13.0,0.0, 0.0 ,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0, 64.0 ,75.0,bad
38.0,2011-01-02,1.0,0.0,1.0, 14.0 ,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,215
39.0,2011-01-02,1.0,0.0,1.0,15.0,0.0,0.0, 0.0 ,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,514
40.0,2011-01-02,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.1642,108.0,67.0,76.0,835
41.0,2011-01-02, 1.0 ,0.0,1.0,17.0,?,0.0,0.0,1.0,0.34,0.3333,,0.194,7.0,58.0,65.0,unknown
42.0,2011-01-02,1.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,196
43.0,2011-01-02,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,bad
44.0, 2011-01-02 ,1.0,0.0,33.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727, 0.39 ,0.3582,5.0,17.0,22.0,bad
45.0, 2011-01-02 ,1.0, 0.0 ,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,768
46.0,2011-01-02,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.2985, 0.0 ,9.0,9.0,841
47.0,2011-01-02,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,961
48.0,2011-01-03,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.197, 0.44 ,0.3582,0.0,5.0,5.0,
49.0,2011-01-03,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44, 0.4179 ,0.0,2.0,2.0,460
50.0, 2011-01-03 ,1.0,0.0, 1.0 ,4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,26
51.0,2011-01-03,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0, 0.16 ,0.1364,0.47,0.2836,0.0,3.0,3.0,127
52.0,2011-01-03,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.14, 0.1061 ,0.5,0.3881,0.0,30.0,30.0,
53.0,2011-01-03,1.0,0.0, 1.0 ,7.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,error,64.0,730
54.0,2011-01-03,1.0,0.0,1.0,8.0, 0.0 ,1.0,1.0, 1.0 ,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,58
55.0,,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.16,5.7288,0.43,0.3881,7.0,81.0,88.0,unknown
56.0,2011-01-03, 1.0 ,,1.0,10.0,0.0, 1.0 ,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,366
